City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
287,alamosa,37.4695,-105.87,293.14,30,0,2.06,US,1727135269
288,la manga del mar menor,37.6413,-0.7165,296.08,85,61,1.03,ES,1727135271
289,panacan,9.2463,118.4082,301.32,77,89,1.44,PH,1727135272
290,vorgashor,67.5833,63.95,273.49,93,99,7.87,RU,1727135273
291,aykhal,66.0,111.5,278.69,97,92,4.66,RU,1727135274
292,newnham,-41.3833,147.1333,283.68,62,100,3.09,AU,1727135275
293,taoudenni,22.6783,-3.9836,307.93,25,16,4.54,ML,1727135276
294,dakhla,23.6848,-15.958,293.86,87,9,9.49,EH,1727135277
295,saint-joseph,-21.3667,55.6167,292.36,75,0,0.24,RE,1727135027
296,harnosand,62.6323,17.9379,284.15,92,93,4.41,SE,1727135280
297,kargat,55.1956,80.2811,276.68,65,20,5.19,RU,1727135033
298,isangel,-19.55,169.2667,300.21,78,75,1.03,VU,1727135282
299,queenstown,-31.8976,26.8753,288.26,49,23,3.57,ZA,1727135117
300,corvallis,44.5646,-123.262,301.16,53,0,6.17,US,1727135214
301,forest grove,45.5198,-123.1107,300.32,60,20,2.68,US,1727135286
302,ewo,-0.8725,14.8206,295.31,95,95,2.07,CG,1727135287
303,christchurch,-43.5333,172.6333,290.05,58,24,9.39,NZ,1727135127
304,belyy yar,53.6039,91.3903,286.09,62,0,6.0,RU,1727135290
305,anda,46.4,125.3167,287.65,65,68,6.29,CN,1727135291
306,kingscliff,-28.2667,153.5667,298.12,64,64,7.2,AU,1727135292
307,naze,28.3667,129.4833,299.66,86,97,5.4,JP,1727135293
308,sogod,10.3847,124.9814,302.52,73,82,1.28,PH,1727135294
309,dalnerechensk,45.9339,133.7225,287.18,69,100,2.6,RU,1727135156
310,marka,1.7159,44.7717,297.89,86,20,6.68,SO,1727135297
311,al fuwayliq,26.4432,43.2534,299.17,24,0,4.26,SA,1727135298
312,petropavlovsk-kamchatsky,53.0452,158.6483,282.48,53,0,4.0,RU,1727135299
313,kapa'a,22.0752,-159.319,302.33,67,20,5.66,US,1727135303
314,hargeysa,9.56,44.065,295.35,61,25,7.62,SO,1727135304
315,kalkaman,51.9525,76.0211,279.55,64,8,4.19,KZ,1727135305
316,skikda,36.8762,6.9092,295.28,78,74,1.79,DZ,1727135306
317,guarapari,-20.6667,-40.4975,295.44,83,0,5.25,BR,1727135309
318,rio grande,-32.035,-52.0986,291.13,97,88,4.94,BR,1727135117
319,kumertau,52.7667,55.7833,276.86,66,0,1.68,RU,1727135311
320,aksuat,48.7167,83.7,283.15,46,1,2.15,KZ,1727135312
321,katsuren-haebaru,26.3369,127.8719,303.2,84,75,5.14,JP,1727135313
322,mount pearl,47.5166,-52.7813,284.9,87,100,5.14,CA,1727135314
323,kulhudhuffushi,6.6221,73.07,301.36,78,100,8.41,MV,1727135315
324,ksar chellala,35.2122,2.3189,292.23,59,48,1.5,DZ,1727135317
325,mokhsogollokh,61.4681,128.9203,276.4,72,64,0.95,RU,1727135318
326,wuyang,31.9925,116.2472,292.04,69,2,1.87,CN,1727135320
327,ha'il,27.5219,41.6907,300.16,21,0,3.09,SA,1727135321
328,casper,42.8666,-106.3131,297.48,20,0,7.2,US,1727135202
329,tobruk,32.0836,23.9764,296.98,59,54,2.92,LY,1727135323
330,calama,-22.4667,-68.9333,293.42,6,0,7.2,CL,1727135115
331,hadsten,56.3282,10.0493,288.82,96,100,2.61,DK,1727135326
332,nyurba,63.2842,118.3319,279.43,90,95,2.05,RU,1727135327
333,emerald,-23.5333,148.1667,296.12,50,68,6.95,AU,1727135328
334,el alto,-4.2714,-81.2147,290.32,91,50,8.23,PE,1727135329
335,enewetak,11.3474,162.3373,301.71,72,48,2.13,MH,1727135330
336,esmeraldas,-19.7625,-44.3139,298.49,39,64,6.53,BR,1727135331
337,burang,30.25,81.1667,280.77,88,100,1.51,CN,1727135333
338,kalmunai,7.4167,81.8167,299.4,70,93,1.55,LK,1727135334
339,magistral'nyy,56.1725,107.4458,279.74,92,8,2.07,RU,1727135336
340,galeras,9.161,-75.0481,300.06,80,100,4.11,CO,1727135337
341,mana,5.6592,-53.7767,299.6,85,28,3.99,GF,1727135338
342,callao,-12.0667,-77.15,294.1,82,40,6.17,PE,1727135224
343,al qusayr,34.5091,36.5798,292.01,77,0,0.52,SY,1727135340
344,merizo village,13.2658,144.6691,302.25,86,100,1.06,GU,1727135341
345,suva,-18.1416,178.4415,298.86,78,75,3.09,FJ,1727135342
346,bismil,37.8486,40.6658,293.7,51,5,0.38,TR,1727135343
347,bairnsdale,-37.8333,147.6167,291.86,50,100,0.83,AU,1727135345
348,jiaozuo,35.2397,113.2331,292.23,56,0,0.45,CN,1727135346
349,jayapura,-2.5333,140.7,301.81,72,86,1.85,ID,1727135347
350,kitakata,37.65,139.8667,291.6,67,0,2.74,JP,1727135348
351,maloye ganyushkino,46.6,49.2667,291.41,42,100,9.24,KZ,1727135349
352,haiku-pauwela,20.9219,-156.3051,301.6,74,13,13.41,US,1727135350
353,praia da vitoria,38.7333,-27.0667,297.29,83,20,2.88,PT,1727135351
354,spino d'adda,45.3989,9.4923,290.29,90,40,0.51,IT,1727135354
355,alaghsas,17.0187,8.0168,307.34,21,28,2.8,NE,1727135355
356,selibaby,15.159,-12.1829,303.0,63,55,2.73,MR,1727135356
357,laguna de duero,41.5815,-4.7233,288.12,57,0,3.6,ES,1727135357
358,puerto deseado,-47.7503,-65.8938,282.51,35,35,11.36,AR,1727135359
359,conceicao da barra,-18.5933,-39.7322,296.62,74,0,3.64,BR,1727135360
360,donggang,28.9365,114.2259,292.59,66,24,1.4,CN,1727135362
361,carthage,36.8611,10.3316,294.89,83,20,2.06,TN,1727135363
362,crane,31.3974,-102.3501,298.8,57,33,3.98,US,1727135364
363,pierre,44.3683,-100.351,296.66,40,75,2.06,US,1727135196
364,tura,25.5198,90.2201,298.48,94,74,2.19,IN,1727135366
